reorder_point,order_quantity,avg_service_level_pct,avg_fill_rate_pct,avg_stockout_days,avg_total_cost_gbp,avg_holding_cost_gbp,avg_ordering_cost_gbp,avg_shortage_cost_gbp,avg_num_orders,feasible,verdict
1500,1250,91.65,94.2,7.51,43823.0,37308.29,1263.2,5251.51,12.63,False,needs improvement
1500,1500,96.7,97.9,2.98,50134.35,47164.68,1113.4,1856.28,11.13,True,good
1500,2000,97.69,98.5,2.09,60149.02,57979.48,867.5,1302.04,8.68,True,good
1500,2500,98.15,98.8,1.67,69457.74,67717.0,699.8,1040.94,7.0,True,good
1750,500,46.74,52.6,47.94,61633.08,17753.46,1302.2,42577.42,13.02,False,needs improvement
1750,750,62.94,68.7,33.36,51842.56,22465.4,1302.2,28074.96,13.02,False,needs improvement
1750,1000,79.92,84.3,18.07,46008.19,30588.23,1298.9,14121.06,12.99,False,needs improvement
1750,1250,94.35,96.0,5.09,50288.61,45480.25,1258.9,3549.46,12.59,False,needs improvement
1750,1500,98.87,99.3,1.02,59845.37,58130.01,1112.0,603.36,11.12,True,good
1750,2000,99.51,99.7,0.45,71376.79,70266.34,867.1,243.35,8.67,True,good
1750,2500,99.6,99.8,0.36,80426.76,79531.44,700.1,195.22,7.0,True,good
2000,500,49.22,54.9,45.7,64547.57,22742.48,1283.2,40521.89,12.83,False,needs improvement
2000,750,65.38,70.8,31.16,55378.65,27864.7,1283.3,26230.65,12.83,False,needs improvement
2000,1000,82.19,86.1,16.02,50839.56,37034.88,1279.4,12525.28,12.79,False,needs improvement
2000,1250,96.0,97.2,3.61,58667.27,54926.08,1243.5,2497.69,12.44,True,good
2000,1500,99.57,99.7,0.39,70910.96,69577.99,1101.9,231.07,11.02,True,good
2000,2000,99.92,100.0,0.07,83511.48,82631.77,847.5,32.22,8.47,True,good
2000,2500,99.92,100.0,0.07,92658.96,91925.61,699.5,33.85,7.0,True,good
2250,500,51.72,57.1,43.45,68252.92,28444.53,1262.9,38545.5,12.63,False,needs improvement
2250,750,67.57,72.7,29.19,59825.33,34021.95,1262.5,24540.88,12.62,False,needs improvement
2250,1000,84.26,87.7,14.17,56638.77,44330.41,1259.2,11049.16,12.59,False,needs improvement
2250,1250,97.27,98.1,2.46,67976.54,65044.81,1223.4,1708.34,12.23,True,good
2250,1500,99.89,99.9,0.1,83660.77,82507.46,1093.3,60.01,10.93,True,good
2250,2000,100.0,100.0,0.0,95905.42,95080.64,823.0,1.78,8.23,True,good
2250,2500,100.0,100.0,0.0,105286.75,104589.43,696.4,0.93,6.96,True,good
2500,500,54.26,59.4,41.16,72611.4,34883.45,1245.1,36482.85,12.45,False,needs improvement
2500,750,69.99,74.7,27.01,65068.33,41115.34,1244.8,22708.19,12.45,False,needs improvement
2500,1000,86.45,89.4,12.2,63688.63,52932.34,1240.2,9516.09,12.4,False,needs improvement
2500,1250,98.36,98.9,1.48,79903.76,77679.65,1208.1,1016.01,12.08,True,good
2500,1500,99.94,100.0,0.05,96426.67,95316.77,1079.7,30.2,10.8,True,good
2500,2000,100.0,100.0,0.0,108769.32,107960.92,808.4,0.0,8.08,True,good
2500,2500,100.0,100.0,0.0,118166.04,117478.84,687.2,0.0,6.87,True,good
2750,500,56.77,61.6,38.91,77724.2,42022.3,1225.3,34476.6,12.25,False,needs improvement
2750,750,72.26,76.6,24.96,71122.79,48919.14,1224.4,20979.24,12.24,False,needs improvement
2750,1000,88.49,91.1,10.36,71715.59,62461.64,1222.1,8031.85,12.22,False,needs improvement
2750,1250,99.08,99.4,0.83,91713.17,89966.26,1188.1,558.81,11.88,True,good
2750,1500,99.99,100.0,0.01,109938.81,108871.09,1060.4,7.33,10.6,True,good
2750,2000,100.0,100.0,0.0,121544.91,120743.11,801.8,0.0,8.02,True,good
2750,2500,100.0,100.0,0.0,131206.85,130535.25,671.6,0.0,6.72,True,good
3000,500,59.3,63.9,36.63,83595.4,49931.34,1205.5,32458.56,12.05,False,needs improvement
3000,750,74.65,78.7,22.81,78076.92,57721.2,1205.9,19149.83,12.06,False,needs improvement
3000,1000,90.58,92.7,8.48,81211.29,73446.64,1201.7,6562.94,12.02,False,needs improvement
3000,1250,99.47,99.6,0.48,104902.88,103405.62,1168.3,328.96,11.68,True,good
3000,1500,100.0,100.0,0.0,123088.72,122050.66,1035.4,2.66,10.35,True,good
3000,2000,100.0,100.0,0.0,134742.04,133942.94,799.1,0.0,7.99,True,good
3000,2500,100.0,100.0,0.0,144293.24,143646.64,646.6,0.0,6.47,True,good
3250,500,61.8,66.1,34.37,90179.13,58564.51,1187.6,30427.02,11.88,False,needs improvement
3250,750,77.04,80.7,20.67,85917.03,67373.45,1187.3,17356.28,11.87,False,needs improvement
3250,1000,92.62,94.4,6.64,91710.3,85460.41,1183.9,5065.99,11.84,False,needs improvement
3250,1250,99.68,99.8,0.29,119120.0,117776.56,1148.5,194.94,11.48,True,good
3250,1500,100.0,100.0,0.0,136610.74,135594.84,1015.9,0.0,10.16,True,good
3250,2000,100.0,100.0,0.0,148208.37,147412.87,795.5,0.0,7.96,True,good
3250,2500,100.0,100.0,0.0,157355.37,156731.97,623.4,0.0,6.23,True,good
3500,500,64.3,68.4,32.13,97494.76,67906.69,1167.9,28420.17,11.68,False,needs improvement
3500,750,79.29,82.6,18.64,94540.98,77758.97,1167.6,15614.42,11.68,False,needs improvement
3500,1000,94.31,95.6,5.12,103386.58,98308.01,1162.7,3915.88,11.63,False,needs improvement
3500,1250,99.84,99.9,0.15,132611.25,131381.45,1130.6,99.19,11.31,True,good
3500,1500,100.0,100.0,0.0,150408.91,149406.41,1002.5,0.0,10.03,True,good
3500,2000,100.0,100.0,0.0,161639.11,160850.81,788.3,0.0,7.88,True,good
3500,2500,100.0,100.0,0.0,170638.67,170031.17,607.5,0.0,6.08,True,good
